journee_gaziere,qte_injectee_Mwh
2019-02-10,1920.4710
2019-02-11,1962.6210
2019-02-12,2046.4790
2019-02-13,2004.6150
2019-02-14,2029.4700
2019-02-15,2148.6670
2019-02-16,2158.3120
2019-02-17,2108.6840
2019-02-18,2115.6940
2019-02-19,2145.4910
2019-02-20,2093.5980
2019-02-21,2101.7020
2019-02-22,2149.1860
2019-02-23,2145.5830
2019-02-24,2079.2640
2019-02-25,2050.0080
2019-02-26,2070.4440
2019-02-27,2024.6820
2019-02-28,2083.9480
2019-03-01,2310.2270
2019-03-02,2292.2780
2019-03-03,2329.1550
2019-03-04,2231.3170
2019-03-05,2251.4210
2019-03-06,2247.5310
2019-03-07,2169.8500
2019-03-08,2378.9490
2019-03-09,2409.8070
2019-03-10,2206.5380
2019-03-11,2251.1390
2019-03-12,2252.3190
2019-03-13,2257.8130
2019-03-14,2302.5260
2019-03-15,2245.8860
2019-03-16,2375.3270
2019-03-17,2255.0550
2019-03-18,2274.2020
2019-03-19,2288.7170
2019-03-20,2281.0460
2019-03-21,2253.9210
2019-03-22,2328.2470
2019-03-23,2298.5050
2019-03-24,2277.6010
2019-03-25,2248.1340
2019-03-26,2242.2880
2019-03-27,2218.2560
2019-03-28,2149.9880
2019-03-29,2275.7140
2019-03-30,2171.8380
2019-03-31,2179.0780
2019-04-01,2261.2030
2019-04-02,2308.2520
2019-04-03,2306.6440
2019-04-04,2385.6600
2019-04-05,2460.8650
2019-04-06,2403.1330
2019-04-07,2279.7700
2019-04-08,2352.7030
2019-04-09,2293.6860
2019-04-10,2272.9080
2019-04-11,2375.6790
2019-04-12,2460.7590
2019-04-13,2388.6220
2019-04-14,2295.6240
2019-04-15,2404.1220
2019-04-16,2385.9780
2019-04-17,2465.4660
2019-04-18,2460.7020
2019-04-19,2441.4840
2019-04-20,2409.6440
2019-04-21,2438.7430
2019-04-22,2472.9840
2019-04-23,2361.2840
2019-04-24,2254.6030
2019-04-25,2386.9570
2019-04-26,2384.7840
2019-04-27,2353.7890
2019-04-28,2312.8830
2019-04-29,2254.2480
2019-04-30,2325.9390
2019-05-01,2422.5200
2019-05-02,2433.4410
2019-05-03,2491.7870
2019-05-04,2333.6840
2019-05-05,2367.5510
2019-05-06,2325.8720
2019-05-07,2416.5030
2019-05-08,2375.7840
2019-05-09,2384.5240
2019-05-10,2436.0280
2019-05-11,2315.9080
2019-05-12,2262.7800
2019-05-13,2356.5310
2019-05-14,2376.0210
2019-05-15,2349.4970
2019-05-16,2408.1410
2019-05-17,2442.2850
2019-05-18,2481.3980
2019-05-19,2428.8040
2019-05-20,2367.1670
2019-05-21,2370.9600
2019-05-22,2324.2320
2019-05-23,2394.6510
2019-05-24,2462.7320
2019-05-25,2354.4560
2019-05-26,2330.7790
2019-05-27,2365.9420
2019-05-28,2294.0000
2019-05-29,2395.9110
2019-05-30,2416.4870
2019-05-31,2409.7220
2019-06-01,2417.5470
2019-06-02,2324.6190
2019-06-03,2385.2530
2019-06-04,2382.4390
2019-06-05,2376.8920
2019-06-06,2476.1140
2019-06-07,2427.4810
2019-06-08,2447.8750
2019-06-09,2435.3220
2019-06-10,2384.2920
2019-06-11,2377.0400
2019-06-12,2391.1320
2019-06-13,2303.6360
2019-06-14,2331.4110
2019-06-15,2251.6430
2019-06-16,2317.4330
2019-06-17,2312.5500
2019-06-18,2246.7040
2019-06-19,2173.5290
2019-06-20,2324.8360
2019-06-21,2454.0560
2019-06-22,2407.2700
2019-06-23,2260.0160
2019-06-24,2265.3240
2019-06-25,2230.8030
2019-06-26,2135.1330
2019-06-27,2071.6240
2019-06-28,2142.1120
2019-06-29,2072.3920
2019-06-30,1964.9650
2019-07-01,2110.3720
2019-07-02,2177.0060
2019-07-03,2362.4830
2019-07-04,2264.5490
2019-07-05,2420.9470
2019-07-06,2258.5080
2019-07-07,2205.1250
2019-07-08,2267.8300
2019-07-09,2185.3250
2019-07-10,2303.1350
2019-07-11,2310.9860
2019-07-12,2405.4220
2019-07-13,2373.6700
2019-07-14,2290.4300
2019-07-15,2299.2780
2019-07-16,2404.3180
2019-07-17,2411.1750
2019-07-18,2451.1590
2019-07-19,2511.3890
2019-07-20,2428.8560
2019-07-21,2248.1320
2019-07-22,2319.3680
2019-07-23,2164.8910
2019-07-24,2212.1850
2019-07-25,1991.0350
2019-07-26,2203.1840
2019-07-27,2348.0930
2019-07-28,2309.8500
2019-07-29,2331.8650
2019-07-30,2285.3930
2019-07-31,2354.5030
2019-08-01,2373.1240
2019-08-02,2418.3450
