date,ln(qte),qte_injectee_Mwh
674,8.18015111246572,3569.394
675,8.17514109629891,3551.556
676,8.17130783002083,3537.968
677,8.17641943651623,3556.099
678,8.23843808807775,3783.626
679,8.21700065509895,3703.378
680,8.11937596357484,3358.924
681,8.101576833272,3299.667
682,8.17870444300106,3564.234
683,8.15624312213779,3485.069
684,8.1549786464668,3480.665
685,8.22164129967872,3720.604
686,8.25458011599787,3845.197
687,8.18838518937173,3598.906
688,8.19237759145634,3613.303
689,8.23621446790103,3775.222
690,8.26944619228636,3902.787
691,8.23584859467533,3773.841
692,8.26312640744852,3878.2
693,8.29351624787368,3997.867
694,8.25734338305273,3855.837
695,8.26084233014341,3869.352
696,8.24611963089323,3812.802
697,8.25040596003547,3829.18
698,8.23455597226598,3768.966
699,8.31306543832154,4076.791
700,8.28780040423931,3975.081
701,8.22747464676184,3742.371
702,8.22176815275508,3721.076
703,8.23052314003168,3753.797
704,8.27765065882538,3934.939
705,8.24931322338468,3824.998
706,8.22576223400156,3735.968
707,8.28635284562728,3969.331
708,8.27072753169162,3907.791
709,8.26250117980299,3875.776
710,8.2688036244124,3900.28
711,8.26783604640611,3896.508
712,8.29406064004153,4000.044
713,8.3304162842724,4148.144
714,8.34319569331639,4201.495
715,8.32377760279242,4120.697
716,8.30670126965546,4050.928
717,8.30165067887485,4030.52
718,8.34094992433474,4192.07
719,8.34014952203857,4188.716
720,8.35428218506638,4248.334
721,8.34979059148323,4229.295
722,8.32098899516794,4109.222
723,8.3149631697255,4084.535
724,8.32637863095182,4131.429
725,8.33179787546102,4153.879
726,8.30282874077838,4035.271
727,8.29402688984324,3999.909
728,8.2618533577657,3873.266
729,8.29873365296584,4018.78
730,8.30563081861776,4046.594
731,8.28281451174991,3955.311
732,8.32802706389935,4138.245
733,8.32884326043279,4141.624
734,8.32128170847025,4110.425
735,8.35141719873635,4236.18
736,8.32319986374107,4118.317
737,8.32045347065027,4107.022
738,8.32893476624305,4142.003
739,8.34312595380297,4201.202
740,8.33763269937243,4178.187
741,8.33286907082921,4158.331
742,8.30510999821128,4044.487
743,8.29227807180116,3992.92
744,8.31412036871074,4081.094
745,8.31964136056887,4103.688
746,8.33289672577295,4158.446
747,8.32789390680362,4137.694
748,8.34307953743793,4201.007
749,8.30133280336249,4029.239
750,8.29109728619104,3988.208
751,8.32643623647887,4131.667
752,8.34183835060314,4195.796
753,8.36236157980755,4282.797
754,8.35234519881427,4240.113
755,8.35380447199615,4246.305
756,8.32800676523348,4138.161
757,8.33531681551456,4168.522
758,8.33737442004034,4177.108
759,8.35377691824956,4246.188
760,8.30916556665946,4060.923
761,8.31989475903346,4104.728
762,8.34374368136574,4203.798
763,8.33372001175915,4161.871
764,8.3246923207545,4124.468
765,8.30580131785228,4047.284
766,8.31381550201649,4079.85
767,8.31140712360637,4070.036
768,8.32805533635447,4138.362
769,8.32975046378324,4145.383
770,8.29976179463952,4022.914
771,8.27842368834048,3937.982
772,8.25743285378672,3856.182
773,8.25812500889753,3858.852
774,8.26864695672105,3899.669
775,8.30660128756574,4050.523
776,8.32940978584533,4143.971
777,8.2988481090136,4019.24
778,8.29868687150543,4018.592
779,8.29439807939001,4001.394
780,8.28460770499384,3962.41
781,8.32360941321689,4120.004
782,8.3180007583412,4096.961
783,8.35016221557697,4230.867
784,8.31171051469811,4071.271
785,8.285417742234,3965.621
786,8.29110581128679,3988.242
787,8.32022797772446,4106.096
788,8.30943935854831,4062.035
789,8.30336041004407,4037.417
790,8.35613155249573,4256.198
791,8.33299194911986,4158.842
792,8.29975508306412,4022.887
793,8.36478392777661,4293.184
794,8.35204775684835,4238.852
795,8.3749743433185,4337.157
796,8.39296648986409,4415.898
797,8.41829000448564,4529.152
798,8.38593259002122,4384.946
799,8.34514619013668,4209.698
800,8.3404801176376,4190.101
801,8.31645842723506,4090.647
802,8.36976059464985,4314.603
803,8.38515736558824,4381.548
804,8.37570220510576,4340.315
805,8.33716468357488,4176.232
806,8.33055681918031,4148.727
807,8.35277976260502,4241.956
808,8.33768559172872,4178.408
809,8.34253047071848,4198.701
810,8.33685502639978,4174.939
811,8.37561488044194,4339.936
812,8.38733117268323,4391.083
813,8.34740911097607,4219.235
814,8.36236157980755,4282.797
815,8.32288245072008,4117.01
816,8.31695846757131,4092.693
817,8.3025925453527,4034.318
818,8.33657138922061,4173.755
819,8.34503928839377,4209.248
820,8.33346720887797,4160.819
821,8.37090882419905,4319.56
822,8.38134391457239,4364.871
823,8.43509467200912,4605.906
824,8.43152505732634,4589.494
825,8.44829274422946,4667.098
826,8.41534560928684,4515.836
827,8.416436948696,4520.767
828,8.41600020176775,4518.793
829,8.41098987625822,4496.209
830,8.40535417999392,4470.941
831,8.41136145363959,4497.88
832,8.40745242980609,4480.332
833,8.40310514586821,4460.897
834,8.38504780926386,4381.068
835,8.41682132285203,4522.505
836,8.39408749047612,4420.851
837,8.40525665661787,4470.505
838,8.40223453843338,4457.015
839,8.43324598777605,4597.399
840,8.39936595478301,4444.248
841,8.38564474573797,4383.684
842,8.38824306019866,4395.089
843,8.39743147446052,4435.659
844,8.40680829690222,4477.447
845,8.43600526155937,4610.102
846,8.44696341241735,4660.898
847,8.39308152213665,4416.406
848,8.35869909258649,4267.14
849,8.39511255930698,4425.385
850,8.40075375272905,4450.42
851,8.43933413118163,4625.474
852,8.41144615662507,4498.261
853,8.38043167326303,4360.891
854,8.4186754328269,4530.898
855,8.41133143904917,4497.745
856,8.44376492667063,4646.014
857,8.42568079091013,4562.75
858,8.45373845610392,4692.583
859,8.44192790367726,4637.487
860,8.46261556213217,4734.425
861,8.41215373532438,4501.445
862,8.34229632327908,4197.718
863,8.3901974235639,4403.687
864,8.35970488122567,4271.434
865,8.35297917901803,4242.802
866,8.43381440856015,4600.013
867,8.45053081649707,4677.555
868,8.35742717505588,4261.716
869,8.3530402217193,4243.061
870,8.43812617426852,4619.89
871,8.46910507075658,4765.249
872,8.4515105493552,4682.14
873,8.46766444456175,4758.389
874,8.4623990393291,4733.4
875,8.43519301915835,4606.359
876,8.3966917392114,4432.379
877,8.43277408794407,4595.23
878,8.46206159278619,4731.803
879,8.49643624890611,4897.285
880,8.49882614518029,4909.003
881,8.48504761435571,4841.828
882,8.45579256858889,4702.232
883,8.44894282991479,4670.133
884,8.47675653930872,4801.85
885,8.47516401020591,4794.209
886,8.46629308287889,4751.868
887,8.50599573322295,4944.325
888,8.51957415467228,5011.919
889,8.49700619826096,4900.077
890,8.45415008492196,4694.515
891,8.50118168871719,4920.58
892,8.49826497770904,4906.249
893,8.51974433448172,5012.772
894,8.54221160458637,5126.67
895,8.52209655027954,5024.577
896,8.46590831804586,4750.04
897,8.45320705102166,4690.09
898,8.48579560564798,4845.451
899,8.47075126797017,4773.1
900,8.48064455308913,4820.556
901,8.54057157493212,5118.269
902,8.56655766682787,5253.016
903,8.50203488255769,4924.78
904,8.49066993922721,4869.127
905,8.5178965440058,5003.518
906,8.48549610467298,4844
907,8.50932290177666,4960.803
908,8.51753293369729,5001.699
909,8.51841824073681,5006.129
910,8.51845359677158,5006.306
911,8.51502343920546,4989.163
912,8.51835451681678,5005.81
913,8.51048353191085,4966.564
914,8.54345803082467,5133.064
915,8.56569283719881,5248.475
916,8.58002150097531,5324.22
917,8.56795740586568,5260.374
918,8.54533020669852,5142.683
919,8.57765667083817,5311.644
920,8.59070978874233,5381.432
921,8.57574677599716,5301.509
922,8.61484626087358,5512.901
923,8.61567995688937,5517.499
924,8.60630273238623,5466.002
925,8.57652003030011,5305.61
926,8.61309192526138,5503.238
927,8.61293745880909,5502.388
928,8.6395862069901,5650.991
929,8.64132280045802,5660.813
930,8.68588376706651,5918.769
931,8.6613555248106,5775.358
932,8.64000975978697,5653.385
933,8.66617303979302,5803.248
934,8.66637032363454,5804.393
935,8.68267745994718,5899.822
936,8.6982915003475,5992.665
937,8.6970570639101,5985.272
938,8.73131730965746,6193.882
939,8.63729921573289,5638.082
940,8.63461385031098,5622.962
941,8.64008740936437,5653.824
942,8.64067922292236,5657.171
943,8.63300236918513,5613.908
944,8.64839898192325,5701.012
945,8.67038489728921,5827.742
946,8.65262507695949,5725.156
947,8.63889015764376,5647.059
948,8.65053351578838,5713.194
949,8.65662516631464,5748.103
950,8.69016467216805,5944.161
951,8.71595027527287,6099.428
952,8.7224819707318,6139.398
953,8.70337013996042,6023.177
954,8.69579015384556,5977.694
955,8.71256620618826,6078.822
956,8.7320790617369,6198.602
957,8.70191270414769,6014.405
958,8.73873562161987,6240.001
959,8.74582676494209,6284.407
960,8.71315282541595,6082.389
961,8.72843564476779,6176.059
962,8.71330094702949,6083.29
963,8.71917504511644,6119.129
964,8.74166338235483,6258.297
965,8.74414149547031,6273.825
966,8.73700078460441,6229.185
967,8.73351029546815,6207.48
968,8.73139173517043,6194.343
969,8.7532524941568,6331.247
970,8.74865516849311,6302.207
971,8.78022892270711,6504.366
972,8.78735115976519,6550.857
973,8.75429266424553,6337.836
974,8.70985411229101,6062.358
975,8.6738679972412,5848.076
976,8.75282231259317,6328.524
977,8.76050495025286,6377.331
978,8.77998505675714,6502.78
979,8.77986725404517,6502.014
980,8.75684925765551,6354.06
981,8.73387623854232,6209.752
982,8.72241306909472,6138.975
983,8.6909039481183,5948.557
984,8.72425727825385,6150.307
985,8.75060939786919,6314.535
986,8.78198435473477,6515.794
987,8.80614590625995,6675.143
988,8.77819421940667,6491.145
989,8.76883680995253,6430.688
990,8.80572680120717,6672.346
991,8.8238594681121,6794.437
992,8.81840798218312,6757.498
993,8.85150037170781,6984.861
994,8.86778653988509,7099.549
995,8.83798252017464,6891.076
996,8.85244310988232,6991.449
997,8.86174782018793,7056.806
998,8.86209777565365,7059.276
999,8.85720216639858,7024.801
1000,8.82179004888813,6780.391
1001,8.80908548842112,6694.794
1002,8.76186149416241,6385.988
1003,8.78777788309058,6553.653
1004,8.82536059924247,6804.644
1005,8.82383547760999,6794.274
1006,8.83461409844646,6867.903
1007,8.78252075328561,6519.29
1008,8.76411857971499,6400.418
1009,8.77932358238361,6498.48
1010,8.79191494052917,6580.822
1011,8.81535352464859,6736.889
1012,8.82245792887031,6784.921
1013,8.84688190042273,6952.676
1014,8.82373465233664,6793.589
1015,8.80123283828279,6642.428
1016,8.78445712518356,6531.926
1017,8.8035693114833,6657.966
1018,8.83436945237166,6866.223
1019,8.87940279085344,7182.5
1020,8.87440878917535,7146.72
1021,8.87719192543965,7166.638
1022,8.86036720658264,7047.07
1023,8.83309647290137,6857.488
1024,8.83095944436386,6842.849
1025,8.84713414557126,6954.43
1026,8.85376599440905,7000.704
1027,8.8441081884852,6933.418
1028,8.87311799406933,7137.501
1029,8.85780655600449,7029.048
1030,8.81673896108754,6746.229
1031,8.81164613966593,6711.959
1032,8.84379718238663,6931.262
1033,8.84165212786846,6916.41
1034,8.85765830303457,7028.006
1035,8.87206174481352,7129.966
1036,8.84316809474858,6926.903
1037,8.79881876022048,6626.412
1038,8.82711814661162,6816.614
1039,8.8516320764643,6985.781
1040,8.86003609219521,7044.737
1041,8.87696906250689,7165.041
1042,8.90736366394777,7386.163
1043,8.90390678361704,7360.674
1044,8.85725213097855,7025.152
1045,8.80363374350045,6658.395
1046,8.80654686596243,6677.82
