Date,conso_moy_quot_MW_PCS0C
09/04/19,32527.8750
09/05/19,33129.7083
09/06/19,33997.5833
09/07/19,30841.6667
09/08/19,28402.1250
09/09/19,35330.2917
09/10/19,35942.4167
09/11/19,34126.2083
09/12/19,33754.3750
09/13/19,32426.8750
09/14/19,27157.0833
09/15/19,21833.5000
09/16/19,31802.8750
09/17/19,33569.2500
09/18/19,33524.9583
09/19/19,35036.9167
09/20/19,34552.7917
09/21/19,26984.6667
09/22/19,22796.1667
09/23/19,33256.9167
09/24/19,34671.5000
09/25/19,35504.6667
09/26/19,35361.1250
09/27/19,33474.4167
09/28/19,26195.2083
09/29/19,23904.0000
09/30/19,33280.9583
10/01/19,34892.3333
10/02/19,38090.2500
10/03/19,43602.2500
10/04/19,41333.1250
10/05/19,37515.7917
10/06/19,32004.9167
10/07/19,43116.7500
10/08/19,44179.7083
10/09/19,45909.2917
10/10/19,45715.8750
10/11/19,43121.8333
10/12/19,33866.9167
10/13/19,26809.2500
10/14/19,37345.6250
10/15/19,43427.0000
10/16/19,46507.2917
10/17/19,46219.0833
10/18/19,46219.2083
10/19/19,42416.9583
10/20/19,42465.7917
10/21/19,51128.9583
10/22/19,55149.2083
10/23/19,52211.7500
10/24/19,49389.8750
10/25/19,48152.5833
10/26/19,38578.7917
10/27/19,43556.1667
10/28/19,57998.7917
10/29/19,61756.3750
10/30/19,63099.1667
10/31/19,63180.7917
11/01/19,53935.0417
11/02/19,46063.9583
11/03/19,48291.5000
11/04/19,61989.9167
11/05/19,68827.7917
11/06/19,70896.4167
11/07/19,75882.2083
11/08/19,81934.7500
11/09/19,76008.3750
11/10/19,73439.2917
11/11/19,79946.1667
11/12/19,87523.6250
11/13/19,88788.9583
11/14/19,93507.2083
11/15/19,97053.6667
11/16/19,89444.7083
11/17/19,85741.1667
11/18/19,94953.7917
11/19/19,96392.7500
11/20/19,101269.5000
11/21/19,96650.1667
11/22/19,87043.1667
11/23/19,70985.1250
11/24/19,70026.8750
11/25/19,79147.6667
11/26/19,76133.5000
11/27/19,71539.0833
11/28/19,74045.5000
11/29/19,77697.5000
11/30/19,79757.7083
12/01/19,85653.6250
12/02/19,101034.2500
12/03/19,105603.0833
12/04/19,108080.3750
12/05/19,109286.3333
12/06/19,97538.5000
12/07/19,77026.0833
12/08/19,68071.2500
12/09/19,89825.5417
12/10/19,96790.2917
12/11/19,97068.1667
12/12/19,95333.5000
12/13/19,87437.1667
12/14/19,68869.0833
12/15/19,68048.0000
12/16/19,79781.8333
12/17/19,73201.7917
12/18/19,75418.7917
12/19/19,65769.7500
12/20/19,64741.0000
12/21/19,62667.5417
12/22/19,63426.9583
12/23/19,66515.1250
12/24/19,59847.7500
12/25/19,62162.2083
12/26/19,68482.6667
12/27/19,69924.7500
12/28/19,70464.9583
12/29/19,78686.9583
12/30/19,89035.0417
12/31/19,91362.0833
01/01/20,83990.3333
01/02/20,87413.0833
01/03/20,82428.1667
01/04/20,81277.1667
01/05/20,84796.5000
01/06/20,96547.3333
01/07/20,87971.6667
01/08/20,81424.5833
01/09/20,75091.7083
01/10/20,82224.3333
01/11/20,79112.7917
01/12/20,77028.9583
01/13/20,86421.2500
01/14/20,78953.2083
01/15/20,80606.6250
01/16/20,78788.1667
01/17/20,84322.0417
01/18/20,87265.8333
01/19/20,92281.0833
01/20/20,104542.3333
01/21/20,107180.2917
01/22/20,108671.2083
01/23/20,106570.9167
01/24/20,102341.0833
01/25/20,92305.3333
01/26/20,84247.5000
01/27/20,87690.7917
01/28/20,92533.8333
01/29/20,88357.7083
01/30/20,81992.3333
01/31/20,69283.9167
02/01/20,57884.0833
02/02/20,55649.8750
02/03/20,66818.9583
02/04/20,81736.2083
02/05/20,89339.4583
02/06/20,93717.2917
02/07/20,87066.8333
02/08/20,73104.7917
02/09/20,64438.4583
02/10/20,70267.7917
02/11/20,78803.4167
02/12/20,87025.5833
02/13/20,86103.8333
02/14/20,77545.8750
02/15/20,60980.9167
02/16/20,56005.1250
02/17/20,72181.1667
02/18/20,76806.1667
02/19/20,81488.0417
02/20/20,79954.5833
02/21/20,80294.0000
02/22/20,64213.9583
02/23/20,59559.6667
02/24/20,67187.8750
02/25/20,76071.0417
02/26/20,90550.2917
02/27/20,92663.4583
02/28/20,82817.9167
02/29/20,65782.7500
03/01/20,68466.5417
03/02/20,87643.5417
03/03/20,90377.7500
03/04/20,86023.1667
03/05/20,81400.3750
